seller_id,zip_code,seller_city,seller_state,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,mql_id,first_contact_date,landing_page_id,origin,sdr_id,sr_id,won_date,business_segment,lead_type,lead_behaviour_profile,has_company,has_gtin,average_stock,business_type,declared_product_catalog_size,declared_monthly_revenue,time_to_close
0015a82c2db000af6aaaf3ae2ecb0532,9080,santo andre,SP,-23.64443891,-46.53988531,santo andre,SP,,,,,,,,,,,,,,,,,
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES,-20.29753658,-40.40086854,cariacica,ES,,,,,,,,,,,,,,,,,
001e6ad469a905060d959994f1b41e4f,24754,sao goncalo,RJ,-22.87403983,-43.0330893,sao goncalo,RJ,,,,,,,,,,,,,,,,,
002100f778ceb8431b7a1020ff7ab48f,14405,franca,SP,-20.50679363,-47.40773764,franca,SP,,,,,,,,,,,,,,,,,
003554e2dce176b5555353e4f3555ac8,74565,goiania,GO,-16.6484115,-49.31119125,goiania,GO,,,,,,,,,,,,,,,,,
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP,-21.76647685,-48.83154738,ibitinga,SP,,,,,,,,,,,,,,,,,
00720abe85ba0859807595bbf045a33b,7070,guarulhos,SP,-23.45179751,-46.55390065,guarulhos,SP,,,,,,,,,,,,,,,,,
00ab3eff1b5192e5f1a63bcecfee11c8,4164,sao paulo,SP,-23.6234373,-46.60877366,sao paulo,SP,,,,,,,,,,,,,,,,,
00d8b143d12632bad99c0ad66ad52825,30170,belo horizonte,MG,-19.9244923,-43.94703961,belo horizonte,MG,,,,,,,,,,,,,,,,,
00ee68308b45bc5e2660cd833c3f81cc,3333,sao paulo,SP,-23.55685,-46.56941527,são paulo,SP,,,,,,,,,,,,,,,,,
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR,-23.377397,-51.93100618,maringa,PR,,,,,,,,,,,,,,,,,
010543a62bd80aa422851e79a3bc7540,1212,sao paulo,SP,-23.53751126,-46.63705731,são paulo,SP,,,,,,,,,,,,,,,,,
010da0602d7774602cd1b3f5fb7b709e,9710,sao bernardo do campo,SP,-23.70899726,-46.54812621,sao bernardo do campo,SP,,,,,,,,,,,,,,,,,
011b0eaba87386a2ae96a7d32bb531d1,17580,pompeia,SP,-22.10502157,-50.17388669,pompeia,SP,,,,,,,,,,,,,,,,,
01266d4c46afa519678d16a8b683d325,80250,curitiba,PR,-25.43896815,-49.27448441,curitiba,PR,ae437864746ae2a9e694a6ed2b5824db,2018-05-07,b76ef37428e6799c421989521c0e5077,unknown,4b339f9567d060bcea4f5136b9f5949e,6565aa9ce3178a5caf6171827af3a9ba,2018-05-18 20:02:04,construction_tools_house_garden,online_small,cat,,,,reseller,,0.0,11 days 20:02:04
013900e863eace745d3ec7614cab5b1a,80740,curitiba,PR,-25.44145497,-49.31273063,curitiba,PR,,,,,,,,,,,,,,,,,
014c0679dd340a0e338872e7ec85666a,35180,timoteo,MG,-19.54373078,-42.65162109,timoteo,MG,,,,,,,,,,,,,,,,,
014d9a685fd57276679edd00e07089e5,87015,maringa,PR,-23.42880634,-51.97183135,maringa,PR,,,,,,,,,,,,,,,,,
0176f73cc1195f367f7b32db1e5b3aa8,14940,ibitinga,SP,-21.76647685,-48.83154738,ibitinga,SP,,,,,,,,,,,,,,,,,
01bcc9d254a0143f0ce9791b960b2a47,76400,uruacu,GO,-14.51852287,-49.1319174,uruacu,GO,,,,,,,,,,,,,,,,,
01c97ebb5cdac52891c0ed1c37ba0012,15804,catanduva,SP,-21.11582484,-48.97245538,catanduva,SP,,,,,,,,,,,,,,,,,
01cf7e3d21494c41fb86034f2e714fa1,85603,francisco beltrao,PR,-26.00367017,-53.23275044,francisco beltrao,PR,,,,,,,,,,,,,,,,,
01ed254b9ff8407dfb9d99ba1e17d923,8710,mogi das cruzes,SP,-23.51937483,-46.19269038,mogi das cruzes,SP,,,,,,,,,,,,,,,,,
01fd077212124329bac32490e8ef80d9,14079,ribeirao preto / sao paulo,SP,-21.15613133,-47.74568765,ribeirao preto,SP,180d9ac0990bb42907fe9cc7aa3eb5a1,2018-03-28,b76ef37428e6799c421989521c0e5077,unknown,09285259593c61296eef10c734121d5b,85fc447d336637ba1df43e793199fbc8,2018-03-28 22:45:45,household_utilities,online_medium,cat,,,,reseller,,0.0,0 days 22:45:45
01fdefa7697d26ad920e9e0346d4bd1b,86050,londrina,PR,-23.33104378,-51.1774335,londrina,PR,,,,,,,,,,,,,,,,,
0241d4d5d36f10f80c644447315af0bd,80330,curitiba,PR,-25.47273494,-49.30563837,curitiba,PR,,,,,,,,,,,,,,,,,
0249d282d911d23cb8b869ab49c99f53,5676,sao paulo,SP,-23.59906477,-46.69707283,sao paulo,SP,,,,,,,,,,,,,,,,,
024b564ae893ce8e9bfa02c10a401ece,3280,sao paulo,SP,-23.5842652,-46.53648618,sao paulo,SP,,,,,,,,,,,,,,,,,
028872bfa080090a9d0abd4f1af168f8,33940,ribeirao das neves,MG,-19.80590227,-44.01521097,ribeirao das neves,MG,,,,,,,,,,,,,,,,,
02a2272692e13558373c66db98f05e2e,20040,rio de janeiro,RJ,-22.9068,-43.17662315,rio de janeiro,RJ,,,,,,,,,,,,,,,,,
02b72cdeb9cfcc429f1af6f4e3f3b737,14940,ibitinga,SP,-21.76647685,-48.83154738,ibitinga,SP,,,,,,,,,,,,,,,,,
02c988090b766852e088c69d7fb3b551,13473,americana,SP,-22.7289317,-47.30132214,americana,SP,,,,,,,,,,,,,,,,,
02d35243ea2e497335cd0f076b45675d,59077,natal,RN,-5.840265604,-35.20826027,natal,RN,,,,,,,,,,,,,,,,,
02dcd3e8e25bee036e32512bcf175493,32310,contagem,MG,-19.94451977,-44.03388529,contagem,MG,,,,,,,,,,,,,,,,,
02ecc2a19303f05e59ce133fd923fff7,9121,santo andre,SP,-23.68719324,-46.49826139,santo andre,SP,,,,,,,,,,,,,,,,,
02f5837340d7eb4f653d676c7256523a,80620,curitiba,PR,-25.45385542,-49.28616872,curitiba,PR,,,,,,,,,,,,,,,,,
